feature,lot8,other_mean,other_std,z
PlatenRFTuningCapacitor__mean,28.609442710876465,28.681142482051143,0.0302746394996095,-2.3683113113734464
Gas7Flow__range,0.13400005102157592,0.12504630817307366,0.0046990848664440615,1.9054226733465705
ForeLinePressure__mean,125.91303253173828,127.19816154197412,0.6781938601865651,-1.8949287005964743
Heater4Temp__mean,59.217916107177736,59.769927766588,0.29779768019210473,-1.853646606831079
HeliumBPFlow__slope,-0.0003186512460056996,-0.00041012088070287915,5.381155434387428e-05,1.6998140234466599
Gas7Flow__std,0.040425822138786316,0.03842852250155475,0.0012507388787644663,1.596895779880598
PlatenRFReflectedPower__mean,3.283961319923401,3.3752117589667985,0.058358400733210865,-1.563621310675645
Gas2Flow__std,0.1206823617219925,0.11521347253410903,0.003629420063206064,1.5068217766594083
SourceRFReflectedPower__range,432.5359405879303,426.71844240888123,4.243004750671763,1.3710798174638046
PlatenDcBias__std,12.538766002655029,10.898882163012468,1.219936505056816,1.3442370425386907
Gas2Flow__mean,4.203417634963989,4.09310968540333,0.08417485686348872,1.3104619796330867
PlatenDcBias__slope,-0.0017811259833143602,-0.0024808830846540127,0.0005420798759444422,1.2908745230958742
Gas2Flow__range,0.3919999599456787,0.3763518374937551,0.01230205589795439,1.271992468716192
SourceRFReflectedPower__mean,137.99480590820312,139.5567017731843,1.2439811644884808,-1.2555623104015612
Heater3Temp__slope,-3.131310306848464e-06,6.236441779253532e-06,7.586352184172018e-06,-1.234816399065502
HeliumBPFlow__mean,1.2680493593215942,1.3911539510444362,0.10740502877923822,-1.1461715817410452
PlatenDcBias__range,41.9382307100296,35.76357325077056,5.428900001861145,1.1373680593015585
Heater1Temp__mean,1371.0073364257812,1371.0077903464987,0.0004151842006526665,-1.0932995928191045
Heater2Temp__range,0.5100013732910156,0.5607408029061777,0.048527894263784746,-1.0455724565206976
SourceRFPeakToPeak__range,3362.652227783203,3165.3417236328123,213.6219364130418,0.923643458454976
SourceRFLoadPower__range,2799.835205078125,2700.11378499349,111.33085702931781,0.8957213008642749
SourceRF2PeakToPeak__mean,0.10339278876781463,0.11761010922491552,0.016321945304166755,-0.871055514042889
SourceRF2PeakToPeak__std,2.299227273464203,2.4477790660328336,0.17561689885985055,-0.8458855243035638
Heater2Temp__mean,54.92352142333984,54.65378287986473,0.32603791748004973,0.8273226180559792
PlatenDcBias__mean,3.687627577781677,3.4340602415579338,0.3673528190070348,0.6902555883718088
Heater2Temp__std,0.1898656167089939,0.20303976828301395,0.02007855309587049,-0.6561305245012673
Heater1Temp__slope,3.2162321822281846e-06,6.124867199338798e-07,4.546809654004762e-06,0.572653280086393
SourceRFReflectedPower__std,180.54745025634764,179.83756900363497,1.4042505621752415,0.5055232106249199
PlatenRFTuningCapacitor__std,3.917051649093628,3.908596650759379,0.01691019899941156,0.4999940174886899
Heater4Temp__slope,0.00016666471610523237,0.00017356367589015372,1.471725547556218e-05,-0.4687667341493793
EpdIntensity__slope,-0.016541669146062178,-0.018196535955720055,0.0035553068463152517,0.4654638491676166
Gas7Flow__mean,2.04250750541687,2.0588323782991482,0.03594429962092201,-0.454171400039628
Heater1Temp__std,0.035673663392663,0.035426405417146506,0.0005691150522763225,0.43446043911072574
PlatenRFPeakToPeak__range,859.4962994384765,860.137931608977,1.47903660458135,-0.4338176408298974
Gas2Flow__slope,4.386497951674389e-05,2.1836077415517897e-05,5.188107955292814e-05,0.4246037725323835
PlatenRFReflectedPower__range,16.797921514511106,16.664420077182616,0.34447654903229347,0.3875486958503388
EpdIntensity__mean,1.9862748458981514,2.1362040287090673,0.39326905622837915,-0.3812381890627293
EpdIntensity__std,11.975157579001962,12.910444502667287,2.5676855403179735,-0.364252907522898
Heater3Temp__mean,10.168771266937256,10.172706551022,0.010993402974716059,-0.357967782477761
HeliumBPFlow__std,0.39814417660236356,0.40246315421881496,0.014200892415947446,-0.30413423959195884
SourceRF2PeakToPeak__slope,-2.5144094411954947e-05,-4.4736601376178544e-05,8.502087585524694e-05,0.23044348540446696
Heater3Temp__range,0.07999954223632813,0.08349957678053073,0.017182770193164252,-0.2036944278981862
Heater4Temp__range,0.26000022888183594,0.26296215763798464,0.015674125645614323,-0.18896931306515719
Heater3Temp__std,0.03499173326417804,0.03587644148803385,0.004972592602217799,-0.17791689258058863
PlatenRFTuningCapacitor__range,4.6736047744750975,4.697407222323947,0.15167897707137665,-0.15692647925525338
PlatenRFReflectedPower__std,7.992307329177857,8.02796070487411,0.2402437131559562,-0.14840503099079236
Heater4Temp__std,0.0807168260216713,0.08084523194917925,0.002693124817960387,-0.047679159410518694
