lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
3,5,2024-07-09,2024-07-09_05,9,40.468555555555554,1.0289563974133107,39.0946,42.5296,0.6244333333333334,0.05498781683245847,41.09298888888889,1.0061333333333333,0.3817,3.4350000000000023,4.244035835779223,2.5426071755903203,64.80844854890655,10,89 & 9 points,9,Chuck,Chuck_9x
3,6,2024-07-09,2024-07-09_06,9,40.21882222222222,1.0218963154079994,38.8598,42.2643,0.6175444444444445,0.05427902705260826,40.83636666666667,1.005088888888889,0.3875444444444444,3.4044999999999987,4.232471032081716,2.54084097679859,65.12700840245417,10,89 & 9 points,9,Chuck,Chuck_9x
3,7,2024-07-09,2024-07-09_07,9,40.117266666666666,1.0232907724591302,38.7708,42.1647,0.6142888888888889,0.05411213922135322,40.73155555555556,1.0051555555555556,0.3908666666666667,3.393900000000002,4.229974125854373,2.5507489853723757,65.30684079152046,10,89 & 9 points,9,Chuck,Chuck_9x
3,8,2024-07-09,2024-07-09_08,9,40.05622222222222,1.019612449386748,38.7341,42.0911,0.6124555555555555,0.05392988761139576,40.66867777777778,1.0048222222222223,0.39236666666666664,3.3569999999999993,4.190360215918736,2.5454533473730625,65.40265960341793,10,89 & 9 points,9,Chuck,Chuck_9x
3,9,2024-07-09,2024-07-09_09,9,39.98883333333333,1.0214281778470737,38.6696,42.046,0.6119111111111111,0.05389838690639182,40.600744444444445,1.0048555555555554,0.3929444444444445,3.3763999999999967,4.221678551929076,2.5542835154324095,65.35072269029634,10,89 & 9 points,9,Chuck,Chuck_9x
3,10,2024-07-09,2024-07-09_10,9,39.584266666666664,1.0048216782096198,38.2873,41.6023,0.6046333333333334,0.05348394618948757,40.188900000000004,1.004711111111111,0.40007777777777775,3.3149999999999977,4.187269689640999,2.538437017593572,65.4682176525718,10,89 & 9 points,9,Chuck,Chuck_9x
4,1,2024-07-11,2024-07-11_01,9,40.72855555555556,1.0150192659638402,39.4005,42.7389,0.6349777777777779,0.057061650383111444,41.36353333333333,1.0040555555555555,0.3690777777777778,3.3384,4.098353052867631,2.492156306843018,64.14170224679779,10,89 & 9 points,3,Si,Si_3x
4,2,2024-07-11,2024-07-11_02,9,40.792388888888894,1.029363109457065,39.4419,42.8406,0.6348222222222222,0.05595133550188451,41.42721111111111,1.0035444444444446,0.36872222222222223,3.398700000000005,4.165850655691495,2.5234195336312966,64.25797248573531,10,89 & 9 points,3,Si,Si_3x
4,3,2024-07-11,2024-07-11_03,9,40.79787777777778,1.0225863078217154,39.4465,42.7985,0.6321444444444445,0.056092136505732956,41.43002222222222,1.0031666666666668,0.3710222222222222,3.3519999999999968,4.108056818859583,2.506469364391078,64.5388536375301,10,89 & 9 points,3,Si,Si_3x
4,4,2024-07-11,2024-07-11_04,9,40.4751,1.0325245336068283,39.1354,42.5503,0.6245555555555556,0.05545421785380964,41.09965555555556,1.0031222222222222,0.37856666666666666,3.414900000000003,4.218519534232161,2.5510116926377657,64.806244440491,10,89 & 9 points,3,Si,Si_3x
4,5,2024-07-11,2024-07-11_05,9,40.4656,1.029108796483633,39.1415,42.5344,0.6228666666666667,0.05545967003147423,41.08846666666667,1.002988888888889,0.38012222222222225,3.3928999999999974,4.192326321616382,2.5431694982494584,64.96671304720111,10,89 & 9 points,3,Si,Si_3x
