lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,si_etch_center,si_etch_edge,center_to_edge,n_interpolated,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
3,3,2024-07-09,2024-07-09_03,89,44.266009562584266,3.7260896163549715,40.5166,52.3406,0.7012317207078651,0.07074603120360544,44.5691191011236,1.0043412591460674,0.3031095384382022,11.824000000000005,13.355619940490651,8.41749607243667,63.12607980411884,42.12532,50.6730103135,8.547690313499999,9,10,89 & 9 points,9,Chuck,Chuck_9x
3,4,2024-07-09,2024-07-09_04,89,44.079486308876405,3.6802060420349068,40.3343,52.0542,0.7098651757528089,0.0709275935854454,44.37532134831461,1.0057002151011236,0.2958350393258427,11.719900000000003,13.294052382865377,8.349022074002287,62.09557506766028,41.97334,50.3982291695,8.424889169499998,10,10,89 & 9 points,9,Chuck,Chuck_9x
3,5,2024-07-09,2024-07-09_05,89,43.976832691348314,3.617573040407448,40.2553,51.8725,0.7032826336179775,0.06973497281365054,44.27980224719101,1.0062521894606742,0.3029695558539326,11.617200000000004,13.208318208743451,8.226088190110024,62.530809932150966,41.93664,50.16511751,8.228477510000005,10,10,89 & 9 points,9,Chuck,Chuck_9x
3,6,2024-07-09,2024-07-09_06,89,43.70646829337079,3.612516559788651,40.0075,51.6604,0.6941350511123595,0.06870803073135472,44.01752247191011,1.0051892295393259,0.31105417841573035,11.652900000000002,13.33086434916484,8.265404872204195,62.96536707565864,41.67316,49.894411573499994,8.221251573499991,12,10,89 & 9 points,9,Chuck,Chuck_9x
3,7,2024-07-09,2024-07-09_07,89,43.58551297651685,3.5956182045580425,39.8958,51.4953,0.6886078678651686,0.0665530264845095,43.90217303370787,1.0052679251685392,0.31666005730337077,11.599499999999999,13.30660029887639,8.249571839375394,63.29511324295676,41.5828,49.743940357,8.161140357,11,10,89 & 9 points,9,Chuck,Chuck_9x
3,8,2024-07-09,2024-07-09_08,89,43.50429716483146,3.5806412679625534,39.8245,51.3609,0.6871177747078652,0.06687553026582094,43.82210898876404,1.0049295985955056,0.31781182384269663,11.5364,13.258920097352977,8.23054617891199,63.31417810189489,41.52034,49.6345854715,8.114245471500006,11,10,89 & 9 points,9,Chuck,Chuck_9x
3,9,2024-07-09,2024-07-09_09,89,43.42807412224719,3.5553391158461136,39.7708,51.19,0.6867361363370786,0.06727236896771921,43.74632696629214,1.004988980280899,0.31825284395505615,11.419199999999996,13.147255814125783,8.186729869342274,63.23837034975961,41.44628,49.516828461,8.070548461000001,11,10,89 & 9 points,9,Chuck,Chuck_9x
3,10,2024-07-09,2024-07-09_10,89,42.98307262797753,3.537856523444539,39.3302,50.7712,0.6948525237528089,0.07080619242609643,43.29303483146067,1.004814726988764,0.30996220328089885,11.441000000000003,13.308727483285011,8.230813450832178,61.859273959071906,41.02834,49.0457527085,8.017412708499997,12,10,89 & 9 points,9,Chuck,Chuck_9x
4,1,2024-07-11,2024-07-11_01,89,44.30630482640449,3.7748835123493496,40.5354,52.6455,0.6986135878202246,0.07106157855664913,44.61187528089888,1.0041840422921349,0.30557045446067416,12.110099999999996,13.66633941540408,8.519969171745721,63.420330779203084,42.15442,50.809791833000006,8.655371833000004,8,10,89 & 9 points,3,Si,Si_3x
4,2,2024-07-11,2024-07-11_02,89,44.36490342820225,3.737808419771371,40.6087,52.5266,0.6955457961348315,0.0702752493616396,44.67302471910112,1.0036670870449438,0.30812129091011237,11.917900000000003,13.431675805727028,8.4251472018201,63.7843024495861,42.22584,50.794284621500005,8.568444621500007,8,10,89 & 9 points,3,Si,Si_3x
