X,Y,r_mm,theta_deg,ring_id,ring_r,n,n_interp,mean,sd,slope,se,ci_lo,ci_hi,p,p_fdr,mean_no_interp,interp_shift
38000,0,38.0,0.0,3,38.0,88,0,41.08057954545455,0.3153635217351084,-0.09280365152150134,0.00629724888226431,-0.10534307603716474,-0.08026422700583795,4.06719384558984e-24,6.241038832025789e-24,41.08057954545455,0.0
0,38000,38.0,90.0,3,38.0,88,0,40.6026375,0.3381053489201125,-0.1009654189245857,0.006379560081124614,-0.11366874597676936,-0.08826209187240204,6.447146011208571e-26,2.0492714107055815e-25,40.6026375,0.0
-38000,0,38.0,180.0,3,38.0,88,0,41.169470454545454,0.33978050932820036,-0.09953263859945057,0.0065165573515880305,-0.11250876206860072,-0.08655651513030041,5.179669213252813e-25,1.0720710697197683e-24,41.169470454545454,0.0
-38000,-19000,42.485291572496,-153.434948822922,4,42.49,88,0,41.38422272727273,0.33832926074009045,-0.09866097540645329,0.006534338434239313,-0.11167250553458757,-0.085649445278319,1.0100555282884581e-24,1.7978988403534553e-24,41.38422272727273,0.0
-19000,-38000,42.485291572496,-116.56505117707799,4,42.49,88,1,41.72364463534091,0.3259265952657636,-0.09472929107381532,0.006554990939088148,-0.10778194559300563,-0.08167663655462501,1.236772654804589e-23,1.6854373622074563e-23,41.72114022988506,-0.0025044054558520656
19000,-38000,42.485291572496,-63.43494882292201,4,42.49,88,0,41.684762500000005,0.3149896682532965,-0.09226855356401878,0.006435852889887825,-0.10508397391908095,-0.07945313320895661,1.939490289957299e-23,2.5384505265617592e-23,41.684762500000005,0.0
38000,-19000,42.485291572496,-26.56505117707799,4,42.49,88,0,41.301863636363635,0.3147308593622505,-0.09204891204672028,0.006388727743643922,-0.10477049424719095,-0.0793273298462496,1.466060187194208e-23,1.9474530844818584e-23,41.301863636363635,0.0
38000,19000,42.485291572496,26.56505117707799,4,42.49,88,0,40.680156818181814,0.3246902367457876,-0.09714285118802878,0.006344342705403253,-0.10977605148601324,-0.08450965089004431,4.483951454164829e-25,9.621787173972712e-25,40.680156818181814,0.0
19000,38000,42.485291572496,63.43494882292201,4,42.49,88,0,40.43895340909091,0.3353929892374375,-0.10011676531891607,0.006399845676744559,-0.11286048615254102,-0.08737304448529112,1.2788270463969666e-25,3.5567377227915634e-25,40.43895340909091,0.0
-19000,38000,42.485291572496,116.56505117707799,4,42.49,88,0,40.48300681818182,0.35028330727466417,-0.10438055022929559,0.0064758612019852335,-0.11727563731167379,-0.09148546314691738,2.177491597031875e-26,8.808943278901677e-26,40.48300681818182,0.0
